Label,PC1,PC2,PC3,PC4,PC5,PC6,SurveyID,biom,cover
912344323,-2.76261863,-0.606093039,-0.826144591,-0.053651641,-0.632329841,-0.495269659,912344323,74010.90073,4
912344327,-0.044099566,1.901118586,-0.927594026,-1.128887323,0.742051496,0.100663677,912344327,38053.67804,8
912344329,-1.406068834,2.227464456,-1.236216766,-0.855419696,-0.720536557,0.340592778,912344329,54659.99755,0
912344330,0.122315496,-0.976295885,-0.87520715,0.039721482,0.508719125,0.191633527,912344330,25103.10494,0
912344331,1.655124583,0.089595261,-0.86368799,0.536393367,0.285271338,0.430156292,912344331,8445.08304,0
912344332,-0.204092702,0.362585186,-1.208020613,-1.015898054,-0.492705836,-0.465906546,912344332,32567.06369,6
912344333,-0.840696449,0.776630192,-1.222489763,-1.224779043,-0.391424163,-0.352454585,912344333,52841.37953,0
912344339,-1.411986081,-0.292507397,0.413744048,-1.097588412,0.509910919,-0.430345871,912344339,53241.28359,15
912344340,-3.161286483,-1.004294255,-0.237947099,-0.752089511,-0.361743448,-0.906499733,912344340,91945.3641,9
912344341,-1.34500851,0.787942783,0.394396594,-1.300408827,0.061253746,0.203613801,912344341,45957.61797,4
912344342,0.064835808,-1.433323999,-0.164110394,-0.175896506,0.007928254,-0.791043943,912344342,20583.4725,4
912344343,-0.495657649,-0.144680448,-0.2558307,0.009951806,0.757425939,-0.948765392,912344343,40253.26544,0
912344348,1.284806004,-1.75122534,0.598728661,-0.532470428,-0.795457332,-0.72236826,912344348,8843.799594,10
912344349,-0.761095359,0.653576389,-0.708000117,-0.167554139,0.342593725,0.201315187,912344349,37516.94769,14
912344352,1.014884143,1.026354073,-1.207005275,-0.066086704,-0.535733132,-0.347462909,912344352,15060.61306,4
912344356,0.415096777,-1.905885283,2.294413087,-0.491799297,-1.290814067,0.351053704,912344356,11242.68007,1
912344358,-1.911396557,-1.467293107,-0.172833512,-0.907439837,-1.347383795,-0.772645957,912344358,55880.00576,26
912344363,0.616967997,-3.059704262,1.233624423,-0.239656913,0.303115908,0.081147744,912344363,11303.71892,8
912344367,-2.856867381,-2.068020967,-0.559702447,-0.480508659,-0.587974717,-0.659090764,912344367,98093.98327,1
912344371,-0.035943084,-3.085523667,-0.185596035,-0.680719085,-0.922310162,-0.710719378,912344371,27000.59501,0
912344372,-0.73929063,-1.209575256,0.266365689,-0.003270777,0.054557059,-0.873173497,912344372,28814.92163,1
912344373,-2.097869841,-1.805291564,0.900267433,-1.001737588,1.039236172,-0.14158963,912344373,62275.56421,3
912344374,-1.093655131,-2.309398954,2.131838503,-1.394683336,0.867902467,0.156852318,912344374,34072.09715,9
912344377,-0.105691684,2.079205095,-0.415966789,-1.208213747,0.947773067,-0.527494848,912344377,41855.98253,3
912344378,0.459482351,1.63701519,-0.489470333,-1.450014498,0.968876759,-1.019516108,912344378,35120.85765,2
912344380,3.540623953,2.146077905,0.594292287,-2.14050466,-2.229340656,-0.991243668,912344380,3864.129301,0
912344383,2.719679341,2.55907917,-0.216438595,-1.740119711,-2.193713873,-0.16267467,912344383,8820.520457,0
912344467,-3.644096143,4.520458312,0.309271442,0.255627415,-0.933452606,-0.907114951,912344467,113418.4941,35
912344471,1.724466012,3.246986398,1.163558451,0.41299863,-0.304529461,-0.581700754,912344471,8039.598657,27
912344473,-1.927778233,3.349934679,0.490058971,0.841289854,-0.673049055,-0.613019786,912344473,56085.05571,23
